clean_statement,label,Category
"Aaditya Thackeray With Rhea Chakraborty? No, That's Disha Patani",0,MISLEADING
The true story of Modi-Nawaz meet and why Barkha Dutt got...,0,GOVERNMENT
"Man arrested thrice in 3 weeks for offensive posts against Uddhav, son",1,VIOLENCE
"With 62% rain deficiency, Central Delhi 2nd-most driest in northwest India: IMD",1,TERROR
Covid brings 200-yr-old Ramlila to halt in Varanasi,1,GOVERNMENT
"Two-day Haryana assembly session could be cut short after CM Khattar, Speaker test positive",1,ELECTION
"Rahul Gandhi calls out Kamal Nath s item remark, says it s unfortunate",1,ELECTION
"Yogi critic, Mumbai ex-top cop IAS & IPS officers moving to politics this Lok Sabha polls",1,ELECTION
Fact-check: Did Supreme Court change its motto to ?Yato Dharmastato Jai? from ?Satyamev Jayate? ?,0,GOVERNMENT
Viral message with details of distribution of essential products in Mumbai...,0,COVID-19
India Is 81% Short Of Specialists In Community Health Centres,0,POLITICS
"Authorities don t have to overreach, tax targets achievable: FM Nirmala Sitharaman",1,ELECTION
India s active COVID-19 cases fall below 9 lakh after a month,1,COVID-19
Hoax or reality? 'Zero Gravity' on earth tomorrow,0,COVID-19
Fake degree case: Tomar sent to judicial custody till July 20,0,POLITICS
Assam s Baghjan oil wells resume operation after massive blowout,1,GOVERNMENT
"Charges on RGF manufactured, Chinese money used for disabled, Sino-Indian ties research: Congress",1,POLITICS
"NFHS data shows urban-rural, gender gaps in Internet use",1,COVID-19
"Strict Coronavirus lockdown in Kolkata, violations reported in some districts of West Bengal",1,GOVERNMENT
"India procuring 72,000 assault rifles from US as part of infantry modernisation",1,COVID-19
"Fact Check: Are Muslims getting beaten up in detention centres in Assam?.Fact Check: No, these students were not arrested in Kolkata on their way to terror training",0,VIOLENCE
Congress to hold rally against BJP s anti-people policies on Nov 30,1,GOVERNMENT
"COVID-19 challenges can be addressed only through multilateralism, global solidarity, says India at UN",1,COVID-19
"UP: BSP MP Shyam Singh Yadav tests positive for COVID-19, hospitalised",1,COVID-19
Fact Check: This is not Nirmala Sitharaman with Jayalalithaa in vintage pic,0,MISLEADING
Tokyo has a drive-in haunted house. And it's terrifying,1,POLITICS
"Modi govt paid Rs 186 crore more per jet in Rafale deal, says Chidambaram",1,ELECTION
Delhi s air quality very poor ; stubble-burning contribution may increase,1,GOVERNMENT
'Lone Gunman Or Pak Proxy?': How NewsX Used A Facebook Post To Fan A ...,0,GOVERNMENT
Chief Justice dispels fears over use of artificial intelligence in Supreme Court,1,TERROR
Centre likely to allow operations of Metro services as part of Unlock 4.0: Reports,1,GOVERNMENT
You can never trust a Bengali Morphed tweet attributed to Shehla Rashid,0,MISLEADING
Emergency drug regulator approval for Covid vaccine by Dec-end: AIIMS Director,1,COVID-19
Drunk woman s video viral as Rohingya Muslim gang on the prowl kidnapping children,0,VIOLENCE
The Golden Temple is NOT donating PPE kits and ventilators; don t...,0,VIOLENCE
"Lack of clarity in party leadership is hurting Congress, says Shashi Tharoor",1,POLITICS
"ED director s term set to end, govt looks at legal hurdles to reappointment",1,VIOLENCE
Disqualified Karnataka MLAs find a new tool to woo voters new districts,1,ELECTION
Video of policemen beating a woman depicts an incident from Haryana last year,0,VIOLENCE
Can Vodka reduce Coronavirus threat?. Does Drinking Alcohol Prevent Coronavirus?,0,COVID-19
Fact Check: Edited old videos being shared as gas explosion in...,0,VIOLENCE
Here s the truth behind this giant skeleton,0,COVID-19
Mob beats murder accused to death in presence of police in Uttar Pradesh s Kushinagar,1,VIOLENCE
Govt to disinvest 15% stake in HAL through Offer For Sale,1,TERROR
Sourav Ganguly sets off buzz with his visit to Governor Dhankhar ahead of Bengal polls,1,ELECTION
Old report of BJP Gujarat govt s demolition drive that erased 50 temples shared as recent,0,VIOLENCE
Was Tricolor hoisted at Lal Chowk in Srinagar on the occasion of India s 74th Independence Day? Know the truth,0,POLITICS
Fact Checked: 297 birds died in The Netherlands but not due....Old Video From Canada Falsely Shared As New Zealand Gunman Beaten In...,0,VIOLENCE
Pak air force recruits first Hindu officer,1,TERROR
"5 BSF men suffering from chronic kidney disease, cancer recover from COVID-19",1,COVID-19
Gods in white coats : PM Modi warns against harassment of doctors treating COVID-19 patients,1,COVID-19
"Fact Check: No, Irfan Pathan Did Not Participate In Shaheen Bagh...",0,VIOLENCE
Fact Check: Did Kangana Ranaut say she ll campaign for BJP in...,0,GOVERNMENT
Not testing enough : Rahul Gandhi launches attack on govt over surge in COVID-19 cases,1,COVID-19
India spells out priorities for UNSC candidature,1,POLITICS
Viral: Fake quotes by world leaders offering support to India over tensions with China,0,GOVERNMENT
Viijay Rupani lays foundation stone for Tapi-Karjan pipeline network,1,TERROR
This church in Spain did welcome Ganesha but not this year,0,TRAD
"Murder accused absconding for 25 years returns to Kerala from Sharjha, arrested",1,VIOLENCE
"India to resume international flights, confirms air corridors with US, France, Germany",1,POLITICS
"In Uttar Pradesh, the third Modi wave is as strong as 2014 and 2017",1,GOVERNMENT
World Health Organization confirmed 'protocol' on COVID-19 lockdown is fake.2013 Photo Of WB Chief Secretary Revived With COVID-19 Spin,0,COVID-19
Fact Check: Do all good morning pictures and videos contain malware?...,0,MISLEADING
This Hyderabadi finally passes Class 10 after 33 years thanks to COVID-19 pandemic,1,COVID-19
EC revokes Kamal Nath s star campaigner status for repeated violations of model code,1,ELECTION
"India s COVID-19 tally crosses 8.49 lakh, death toll climbs to 22,674",1,COVID-19
"India, Britain join hands for medicinal study",1,POLITICS
AAP has a host of promises for Delhi but only if the national capital becomes a state,1,GOVERNMENT
Cropped Video Of A Multi-Faith Ceremony For Rafale Jets Is Misleading,0,POLITICS
57-year-old Pune police ASI dies of COVID-19,1,COVID-19
"Covid-positive Congress MP Punia violated Epidemic Act, we ll move court Chhattisgarh BJP",1,TERROR
"Fact Check: Can gargling with warm salt water prevent Coronavirus?.Fact Check: No, gargling with warm salt water can't save you from coronavirus",0,MISLEADING
Rajasthan tables Bill to make masks in public mandatory,1,GOVERNMENT
Fact Check: Unrelated Image Circulated As Minor Girl Gang-Raped In Rajasthan's Tonk,0,VIOLENCE
"China has deployed 60,000 soldiers on India s northern border: Pompeo",1,TERROR
Case filed against Shahar Qazi of Mawana for undeclared stay of religious preachers from abroad,1,TERROR
Fact Check: Are lions being used to enforce lockdown in Russia?,0,POLITICS
Fact check: This picture of the bleeding woman is not from...,0,MISLEADING
Sisodia steps in after 3 Pak Hindu refugee children denied admission in Delhi govt school,1,GOVERNMENT
"Sara Pilot didn t tell husband Sachin to join BJP, it s a fake Twitter account",0,GOVERNMENT
Flyover scam: Ex-PWD min Ebrahim Kunju arrested,1,VIOLENCE
"Interfaith couple harassed by Hindu vigilante groups in MP, police send girl to parents",1,TRAD
"PFI, accused of financing CAA protests in UP, has offices in Delhi s Shaheen Bagh: ED",1,VIOLENCE
Fact Check: Did Gujarat Govt Rename Dragon Fruit After Kamala Harris?...,0,VIOLENCE
Five of family found dead at their house in West Bengal,1,VIOLENCE
CM Amarinder Singh calls Kejriwal s announcement to fast theatrics,1,ELECTION
"LG lauds hospital quarantine, says horrifying pictures more effective than police batons",0,MISLEADING
BJP MP demands judicial probe into Bollywood actor Sushant Singh s suicide case,1,VIOLENCE
Contempt proceedings: SC issues notice to activist-lawyer Prashant Bhushan,1,TERROR
BJP declares candidates for second phase of Bihar elections,1,ELECTION
ED arrests former MD of Tops Grup in Rs 175 crore money laundering case,0,COVID-19
Farmers launch Padyatra to Ghazipur border carrying water from 36 villages,1,GOVERNMENT
Old video of Maratha protest shared as angry public in Assam chasing police after NRC,0,VIOLENCE
"Akhilesh Yadav to contest Lok Sabha polls from Azamgarh, Azam Khan to fight from Rampur",1,ELECTION
Media misreport: Bhojpuri song Lollypop Lagelu played in London during Cricket World Cup,0,COVID-19
"As UP seeks ban on Muslim body PFI, Mamata govt distances itself from the organisation",1,ELECTION
Congress could call assembly session next week to force rebels MLAs return to Jaipur,1,VIOLENCE
SC reserves order on Vijay Mallya's plea seeking review of 2017 order in contempt case,1,TERROR
Fact Check: Mahesh Bhat's Lashing Out Video Is Old And Unrelated To Fans' Reaction To His Upcoming....Fact Check: Sambit Patra Shares Video Claiming AAP Leader Wants 'Sharia' When He Actually Said...,0,VIOLENCE
Fact Check: Old video Of Attack On BJP WB Chief Falsely...,0,VIOLENCE
Fact Check: News about four-day working week in Finland is too good to be true,0,POLITICS
"Not just Shiv Sena and NCP, BJP too didn t get extra time from governor to form govt",1,TRAD
Gujarat: New Gunda Act to deal with anti-social elements,1,GOVERNMENT
Journalist Arnab Goswami arrested for abetting suicide of 53-year-old interior designer,1,VIOLENCE
"Fact check: No, Amit Shah has not been flown to NY for cancer treatment.Fact Check: No, India has not developed any treatment for coronavirus",0,POLITICS
Morphed image shows Congress workers feeding cake to Mia Khalifa s poster,0,COVID-19
Applying for emergency use of AstraZeneca Covid-19 vaccine in two weeks: Serum Institute of India,1,COVID-19
"Centre plotting to topple my govt, says Mamata; BJP asserts it will go on its own",1,ELECTION
Fact Check: Did BJP MP Sanjay Dhotre Recently Say ?Let Farmers....Fact Check: Did Manmohan say Congress will pay heavily for protesting govt s move on J&K?,0,POLITICS
"Fact Check: Broiler chicken not affected with Corona virus.Fact Check: No, mustard oil does not kill Corona virus",0,MISLEADING
"Congress challenges Kerala CM, CPM to come clean on Sabarimala",1,ELECTION
"31 rallies, 10 days, 9 states: Narendra Modi s feverish last leg of campaigning",1,GOVERNMENT
Missing Covid patient found dead in govt hospital toilet in U khand,1,GOVERNMENT
Fact Check: Video of woman being thrashed brutally goes viral with communal twist,0,VIOLENCE
Fact Check: Did Boston Police damage their own car to blame on George Floyd protesters?.Fact Check: Did a US city deploy child soldiers to quell protests over George Floyd's death?,0,MISLEADING
COVID-19: EC frets as parties violate distancing norms during poll campaigning in Bihar,1,ELECTION
Can Governments Provide Basic Infra In All Schools In 6 Months?,0,COVID-19
Smog may worsen in Delhi-NCR coming days due to weather conditions: Experts,1,COVID-19
"Fact Check: Who is this woman removing a TRS banner in Hyderabad?. Fact Check: The corpse wears Prada? No, this is a spoof",0,COVID-19
Fact Check: Don t fall for this misleading post about Salman Khan,0,MISLEADING
Fact Check: Australian dwarf Queden Bayles is nine years old!.Fact Check: Buy 1 Get 2 Thali free message of Sagar Ratna and other restaurants is fraudulent,0,COVID-19
Bananas cannot help you to prevent a COVID-19 infection!.Cocaine is not a cure for COVID-19!,0,COVID-19
"5% growth estimate for economy is imaginary , says former BJP leader Yashwant Sinha",1,ELECTION
Fake news chaos: WhatsApp rolls out feature to highlight forward messages,0,MISLEADING
Fake Twitter account (Dr Abdul Vashist @ShaneMalwa) is instigating Hindus after terror attack on Amarnath Yatra,0,GOVERNMENT
Defence Minister Rajnath Singh visits Kashmir s Keran sector,1,COVID-19
Fact Check: Don t fall for Argentina is doing it hoax forward...,0,MISLEADING
"Fact Check: Ministry of tourism didn t ask hotels to remain closed till Oct 15.Fact Check: No, Railways has no plan to cut salary of its 13 lakh employees",0,MISLEADING
Narco-terror case: NIA files charges against KLF operative,1,VIOLENCE
"Who razed Chandni Chowk Hanuman mandir, AAP or BJP? Residents don t care, just want it back",1,ELECTION
Fact Check: Was Pfizer s first Covid-19 vaccination in the UK a staged event?,0,COVID-19
Doctors at Pathankot Military Hospital perform rare surgery to save one-day-old child of soldier,1,COVID-19
"Fact Check: No, Viral Photo Does Not Show Dr Rajendra Bharud With His Mother",0,MISLEADING
Modi govt ministers could meet Kashmiri politicians who are part of an emerging front,1,GOVERNMENT
"UP: Mother, baby die during quack-assisted delivery, bodies dumped outside clinic",1,VIOLENCE
"Invite Covid warriors to official Independence Day events, MHA tells states, UTs",1,GOVERNMENT
Govt extends suspension of international flights till Aug 31,1,GOVERNMENT
"The father on the bridge, and the son he wanted to see",1,VIOLENCE
Viral video of burning ropeway at Haridwar s Mansa Devi Temple is actually from Palestine,0,VIOLENCE
Fact Check: Fake AAP candidates list goes viral with communal spin.Fact Check: List of UP Congress' minority cell members viral with communal twist,0,MISLEADING
Did PM Modi touch the feet of Saudi king? Here s the...,0,GOVERNMENT
How Jagan Reddy s dream project of 3 capitals for Andhra has been stalled by 60 petitions,1,TRAD
"Respond to pleas seeking probe into lynchings, SC tells Maharashtra",1,TERROR
"Donald Trump reiterates offer to mediate on India-China border dispute, says PM Modi not in good mood",1,POLITICS
High Court stays Jaitly s 4-year jail term for corruption,1,VIOLENCE
Fact-Check: Protest against CAB at Mohammed Ali rd Mumbai? Here s the...,0,VIOLENCE
Tihar jailers scratching head on how to withdraw security to Shabir Shah,1,TERROR
Fact Check: Did China seek UN mediation on border face-off with India?.Fact Check: Did China seek UN mediation on border face-off with India??,0,COVID-19
Freedom of speech and expression not an absolute right: Bombay High Court,1,VIOLENCE
"Delhi AQI improves to satisfactory level, city enjoys cleanest air in Nov",1,GOVERNMENT
"Maharashtra polls become bitter for Congress, NCP as sugar barons have switched to BJP",1,ELECTION
"10 killed, 16 injured in truck accident near Vadodara",1,GOVERNMENT
EPF To ELSS: Five Key Investments You Can Make Under Section 80C,1,TERROR
"Cow slaughter ban will be reality in Karnataka in near future, says BJP leader CT Ravi",1,ELECTION
"A rumour is being spread that in Assam, 4 District Level Officers of the BJP were caught by the Army for putting up ISIS posters.",0,VIOLENCE
Supreme Court to work with full strength from Monday,1,VIOLENCE
Plaint against Kangana over CM remark,1,VIOLENCE
"Sisodia tests negative for COVID-19, discharged from hospital",1,COVID-19
Fact Check: Did Boston Police damage their own car to blame on George Floyd protesters?,0,MISLEADING
"Fact Check: No, Disaster Management Act does not restrict citizens to post updates on Covid-19.Disaster Management Act does not restrict citizens to share posts on COVID-19",0,MISLEADING
Prashant P. Umrao: Unmasking a one-man hate factory,0,COVID-19
Mumbai's Dharavi area reports four new coronavirus cases,1,COVID-19
"Mamata calls questions on Tablighi event communal , avoids giving any answers",1,GOVERNMENT
Quad ministerial meet: Mike Pompeo has 'productive meeting' with MEA Jaishankar for Indo-Pacific 'integrity',1,POLITICS
Circulating fake news and making a false claim will land you in jail for 1 year: MHA,0,GOVERNMENT
"LAC: Border mechanism meets, fails to make headway on disengagement",1,TERROR
SC allows Rajasthan Speaker to withdraw plea against High Court order,1,VIOLENCE
"When Parliament makes bad laws, judges do lawmakers job: Former Vice President Hamid Ansari",1,POLITICS
Budget 2019: Sitharaman Extends Capital Gains Benefits For Entrepreneurs,1,GOVERNMENT
"Delhi govt defends bed reservation call, says hospitals needed for its residents amid rise in Coronavirus cases",1,COVID-19
"No place for the poor in Modi s suit-boot govt, says Rahul Gandhi at MP election rally",1,ELECTION
"Man being thrashed in viral video a UP madrasa teacher, not Dalit as claimed.The video from a mock drill in Karol Bagh, Delhi, being circulated as a real incident.",0,VIOLENCE
Coronavirus fear reduces toll of non-Covid illnesses,1,COVID-19
Fact Check: False claim that SC motto has changed from Satyamev...,0,GOVERNMENT
BJP criticises Farooq Abdullah s promise on J-K s regional autonomy,1,ELECTION
"Is Modi govt launching a new Rs 1,000 note?",0,COVID-19
"Tension in Odisha village after Maoists abduct three, kill one",1,TERROR
Photo of Bangladesh procession went viral as a protest in Mumbai against CAB,0,VIOLENCE
Fact Check: News about man who battered his wife s feet with a baseball bat after mistaking her snake print stockings for real snake is false.,0,POLITICS
"CM Adityanath keeps home, revenue and 35 other portfolios after UP cabinet reshuffle",1,GOVERNMENT
"Vizag gas leak kills 11, over 1,000 affected",1,VIOLENCE
West Bengal Governor claims credit for special train for migrants,1,GOVERNMENT
Kangana Ranaut's bungalow: HC asks if BMC demolished only ongoing construction,1,VIOLENCE
Infighting flares up in U khand Congress,1,GOVERNMENT
Claim of IAF air strikes on Nepal shows images from Libya in 2011 and Bengaluru in 2019.Assam Floods: News Of 225 Animals Dead In Kaziranga Is From 2017,0,VIOLENCE
"Commanders meet today; LAC, border roads on agenda",1,GOVERNMENT
Photographer Martin Parr on Britain in the time of Brexit,1,POLITICS
Himachal faring better than other states in tackling pandemic: Jai Ram Thakur,1,COVID-19
Fact Check: No! These weapons were not seized from a mosque,0,VIOLENCE
"BJP s Bhupender Yadav, Devendra Fadnavis in Patna to work out seat sharing with JD (U), LJP",1,ELECTION
Did pro-Modi chanting disrupt Rahul Gandhi s Ujjain rally recently? Fact check,0,COVID-19
Government asks Priyanka to vacate official bungalow by August 1,1,GOVERNMENT
People with mental illness can t be denied equal opportunity: HC for judgeship to bipolar person,1,VIOLENCE
"PM Modi urges Rajapaksa to ensure equality, justice, peace for minority in Sri Lanka",1,POLITICS
"Abducted Kanpur lab technician killed, say cops; family accuses police of connivance",1,VIOLENCE
"India, Pak exchange heavy firing on LoC in J-K s Baramulla",1,COVID-19
"TMC wants Delhi land cleared of illegal temples to build office, govt says it s party s job",1,ELECTION
Fact Check: Old Pictures Of Former Actor Sana Khan Resurface With.... Coronavirus: Dated Photos Of Kanika Kapoor Meeting Prince Charles...,0,COVID-19
"Delhi Health Minister Satyendar Jain tests negative for COVID-19, discharged from hospital",1,COVID-19
"Shatrughan praises Sushant as person and actor, hails SC for CBI probe",1,VIOLENCE
"No, non-resident Indians cannot vote online during general elections in India.Fact Check: No, NRIs cannot vote online in 2019 Lok Sabha elections",0,COVID-19
Rajasthan CM Gehlot calls MLAs meet to prove all is well with his govt,1,ELECTION
"RJD leader Tejashwi Yadav meets Lalu Yadav, extends birthday greetings",1,ELECTION
"Soldier killed, 3 injured in IED explosion in J&K s Kulgam",1,COVID-19
Add Fixed Deposits To Your Portfolio As Rates On Offer Are Quite Reasonable,1,GOVERNMENT
From A Photoshopped Headline To A Fake Intel Report On Karnataka...,0,POLITICS
"NIA arrests two from Tamil Nadu, Karnataka for funding travel of IS recruits to Syria",1,TERROR
No room for negotiation : BJP & RSS are not game for mediation in Ayodhya case,1,TRAD
"No, these images don t depict child-kidnapping gangs lifting children to sell kidneys",0,VIOLENCE
"Before embarking on tour across Bihar, Kanhaiya Kumar detained briefly in Champaran",1,VIOLENCE
"Nitish Kumar s human chain programme in trouble as Opposition, teachers boycott",1,GOVERNMENT
No! Sarfaraz did not bring a gun on the field; here s...,0,POLITICS
"Arnab s arrest attack on press, says Amit Shah",1,POLITICS
Demonetisation: Is Ban On Unflattering Social Media Posts Legally Tenable?,1,GOVERNMENT
"IIT students, alumni launch portal to provide transport facilities to NEET, JEE candidates",1,GOVERNMENT
"'Depressed' woman jumps to death in Noida, man hangs self in Gr Noida",1,VIOLENCE
Fact Check: Social media users give misleading twist to PM Modi's concept of 'Janta curfew'.Fact Check: Social Media Hoax Links Bird Deaths To 'Reliance Jio's 5G Trial',0,MISLEADING
"Massive fire at Delhi slum, 250 shanties gutted",1,VIOLENCE
Video Of BSF Jawan Breaking Down Over Land Grab Case Falsely Linked To ...,0,VIOLENCE
"Trainee pilot, instructor killed after trainer aircraft crashes in Odisha s Dhenkanal",1,VIOLENCE
"Old video of CRPF officer goes viral after BJP minister, spokesperson post wrong tweets",0,GOVERNMENT
Visuals from an earlier cyclone that hit Orissa are going viral as images from the destruction caused by the recent Amphan Cyclone in West Bengal.An Old video from 2018 is being shared as recent footage of damage caused by cyclone Amphan in West Bengal.,0,VIOLENCE
Fact Check: The truth about Rajnath Singh's picture at madrasa,0,GOVERNMENT
Fact Check: Maharashtra Home Minister did not say no Hindu among...,0,POLITICS
"Govt committed to farmers welfare, MSP system strengthened, sharp increase in payment to farmers: FM",1,GOVERNMENT
CBI to take over probe into custodial deaths of father and son in Tuticorin: TN CM Palaniswami,1,VIOLENCE
BJP issues show cause notice to Anantkumar Hegde over remarks in freedom movement,1,ELECTION
Modi scared of China s Xi Jinping: Rahul Gandhi targets govt over Masood Azhar,1,GOVERNMENT
Road accident viral as Bangladeshi and Rohingya attacking central forces in Bengal,0,VIOLENCE
"Covid crisis: No flights to Kolkata from Delhi, Mumbai, Chennai and 3 other cities from July 6-19",1,COVID-19
"Red is green, green is red ? Sambit Patra shares clipped video to mock Rahul Gandhi",0,MISLEADING
Airlines can operate maximum 60 per cent of pre-COVID domestic flights till Feb 24 next year: Govt,1,COVID-19
"No, This Is Not A Saudi Prince Speaking On Kashmir",0,VIOLENCE
"India Today takes Rajdeep Sardesai off air, docks month s salary for tweet on farmer s death",1,ELECTION
Why both BJP and Trinamool see advantage in Congress-CPM tie-up for Bengal polls,0,POLITICS
Good Samaritan shopkeeper takes care of abandoned old man,1,ELECTION
Double fee on entering FASTag zone without having valid or functional one,1,VIOLENCE
6 including 2 children dead as car falls into canal near Delhi due to fog,1,GOVERNMENT
Misleading claim: 1091 & 7837018555 are pan-India helpline numbers for women home-drop service,0,MISLEADING
11 workers travelling from Himachal Pradesh to Bihar injured in accident in Uttar Pradesh,1,GOVERNMENT
Prasad slams Oppn s irresponsible acts in Upper House,1,ELECTION
"Essar Steel Bid: ArcelorMittal, Numetal Get Two Weeks To Clear Dues",1,COVID-19
PM Modi assures Rwanda of India s support in combating coronavirus,1,POLITICS
"Sushant Rajput death case: Rhea Chakraborty, her brother at CBI office for questioning",1,VIOLENCE
"UGC seeks support from universities, colleges to spread info on Covid vaccine rollout",1,COVID-19
Video of man attempting self-immolation shared as atrocity against Dalit community,0,VIOLENCE
Fadnavis has a clear pitch as he begins state tour before polls 5 yrs of BJP vs 15 of Cong-NCP,1,TRAD
First convoy of Indian Army passes through newly-inaugurated Atal Tunnel [WATCH],1,POLITICS
Hope members will unitedly stand with our soldiers : Prime Minister ahead of monsoon session,1,ELECTION
"Murder of railway official's wife, son: Police lodge plaint sans naming accused",1,VIOLENCE
Fact Check: Image From 2013 Used To Portray Police Atrocity On Recent...,0,VIOLENCE
World Oceans Day: Doing your laundry spills plastics into the ocean,1,POLITICS
"Free vaccine in Bihar, are others from Bangladesh? Uddhav to BJP",1,ELECTION
"India inks bilateral air bubbles with France, US; talks on with Germany: Puri",1,POLITICS
Jaitley denies meeting Mallya after liquor baron s claims outside London court,1,TRAD
Right time has come for Kashmiri Pandits to be back : Anurag Thakur on 2nd day of public outreach program in J-K,1,ELECTION
Who is Collin Morikawa? Meet the 23-year-old who's made breaking records a habit,1,POLITICS
"Sonia Gandhi, Rahul return from abroad after her medical check-up",1,ELECTION
"No, these are not photos of Indian soldiers after a deadly Kashmir suicide attack.No, these are not coffins for Indian security forces killed in a Maoist attack in May 2019",0,VIOLENCE
Fact Check: The complete truth behind the photo that embarrassed UP Police,0,COVID-19
EC writes to Ministry of Health about use of Indelible Ink for home quarantine purpose,1,COVID-19
"Daughter-in-law of former HC judge alleges domestic violence, releases video",1,VIOLENCE
"Shiv Sena Telangana chief joins BJP, says hurt by alliance with Congress in Maharashtra",1,GOVERNMENT
"Case against Kangana Ranaut, sister Rangoli for spreading 'communal hatred'; actor reacts",1,VIOLENCE
43-year-old student protesting fee hike? JNU master s student misidentified in viral image,0,VIOLENCE
More than 10K COVID-19 cases in CRPF; recovery rate 85 pc: DG,1,COVID-19
Facebook chief asked to audit hate speech policy,1,POLITICS
"Amitabh Bachchan tests negative for COVID-19, discharged from hospital",1,COVID-19
"Pilot,18 rebels move High Court against Speaker s notice; hearing today",1,TERROR
This mass grave is not of terrorists killed in India s air...,0,POLITICS
Document Claiming To Show Swiss Bank Account Details Of Indian...,0,POLITICS
No! This picture was not taken after Solan building collapse,0,MISLEADING
31% candidates in phase 3 of Bihar polls have declared criminal cases against them: Report,1,ELECTION
"73 cases detected with new Covid mutant strain, informs Health Ministry",1,COVID-19
China will have to pay a heavy price for military misadventure in eastern Ladakh: Experts,1,POLITICS
Don t believe these fake claims about this amphibious aircraft,0,GOVERNMENT
Two more arrested in TRP rigging case,1,VIOLENCE
"COVID Alert: Maharashtra, Kerala, Punjab, MP, TN, Gujarat and Chhattisgarh witness upsurge in daily new cases",1,COVID-19
Dated Picture Of Cop Holding Stones Spun As Police Violence In Delhi.Video Of A Robbery At Gunpoint In Pakistan Shared As From Mumbai,0,VIOLENCE
Fact Check: Conspiracy theory claims Sushant was killed for a corona testing patent,0,MISLEADING
Controversial Punjab DIG resigns in support of farmer brothers,1,VIOLENCE
